"","Player","Points","FD_Salary"
"11","Wilson, Russell","32.28","$8,500"
"12","Manning, Eli","27.28","$7,500"
"13","Bortles, Blake","25.7","$7,700"
"14","Fitzpatrick, Ryan","24.82","$7,800"
"15","Newton, Cam","23","$9,200"
"16","Mariota, Marcus","22.86","$7,500"
"17","Cousins, Kirk","22.3","$7,000"
"18","Palmer, Carson","20.7","$8,300"
"19","Brees, Drew","20.48","$7,900"
"20","Rodgers, Aaron","19.42","$8,900"
"21","Cutler, Jay","19.1","$6,700"
"22","Taylor, Tyrod","19.02","$7,500"
"23","Brady, Tom","18.04","$9,300"
"24","McCarron, A.J.","18","$5,000"
"25","Stafford, Matthew","17.3","$7,500"
"26","Tannehill, Ryan","15.84","$6,900"
"27","Bridgewater, Teddy","15.7","$6,000"
"28","Manziel, Johnny","15.3","$6,400"
"29","Smith, Alex","14.64","$6,800"
"30","Winston, Jameis","13.68","$7,800"
"31","Gabbert, Blaine","13.66","$6,400"
"32","Osweiler, Brock","13.32","$6,900"
"33","Bradford, Sam","13.18","$6,300"
"34","Carr, Derek","13","$7,200"
"35","Roethlisberger, Ben","10.88","$8,300"
"36","Rivers, Philip","9.92","$7,600"
"37","Clausen, Jimmy","9.76","$5,000"
"38","Hasselbeck, Matt","9.08","$6,600"
"39","Ryan, Matt","5.86","$7,100"
"40","Cassel, Matt","4.16","$6,200"
"41","Keenum, Case","4.16","$5,900"
"42","Hoyer, Brian","4.1","$7,000"
"43","Dalton, Andy","1.36","$8,200"
"44","Anderson, Derek","1.24","$5,000"
"45","Yates, T.J.","0.16","$6,000"
"46","Jackson, Tarvaris","0.06","$5,000"
"47","Manuel, E.J.","0","$5,000"
"48","Sanchez, Mark","0","$5,800"
"49","Webb, Joe","0","$5,000"
"50","Jones, Landry","-0.1","$6,000"
"51","Tolzien, Scott","-0.3","$5,000"
"52","Whitehurst, Charlie","-0.48","$5,000"
"53","Renfree, Sean","-0.56","$5,000"
"56","Crowell, Isaiah","27.9","$5,200"
"57","Gurley, Todd","27.2","$7,900"
"58","Starks, James","24.3","$5,600"
"59","Williams, DeAngelo","22.1","$7,300"
"60","Lacy, Eddie","21.3","$6,200"
"61","Miller, Lamar","20.9","$6,600"
"62","Powell, Bilal","16.7","$4,800"
"63","Hightower, Tim","16","$4,500"
"64","Stewart, Jonathan","15.4","$7,200"
"65","Robinson, Denard","15.2","$4,800"
"66","Martin, Doug","15.1","$8,000"
"67","Johnson, David","14.8","$6,500"
"68","Peterson, Adrian","13.1","$8,200"
"69","McCoy, LeSean","12.9","$7,900"
"70","White, James","12","$6,300"
"71","Forte, Matt","11.8","$7,800"
"72","Sproles, Darren","11.5","$5,100"
"73","Ivory, Chris","11.2","$7,100"
"74","Jennings, Rashad","11.2","$4,800"
"75","McFadden, Darren","11.1","$6,700"
"76","Turbin, Robert","11.1","$4,600"
"77","Sims, Charles","10.4","$4,900"
"78","Riddick, Theo","9.7","$5,500"
"79","Hillman, Ronnie","9.6","$6,400"
"80","Jones, Matt","9.6","$5,100"
"82","Whittaker, Fozzy","9.3","$4,500"
"83","McCluster, Dexter","9","$4,500"
"84","Johnson, Duke","8.9","$5,600"
"85","Bell, Joique","8.5","$5,000"
"86","Morris, Alfred","8.4","$5,500"
"87","Gordon, Melvin","8.3","$5,300"
"88","Bernard, Giovani","8.2","$5,700"
"89","Langford, Jeremy","7.9","$5,400"
"91","Andrews, Antonio","7.54","$5,300"
"92","Grimes, Jonathan","7.2","$4,600"
"93","Burkhead, Rex","7","$4,500"
"94","Yeldon, T.J.","6.8","$6,400"
"95","Gore, Frank","6.4","$6,100"
"96","Allen, Javorius","6.3","$7,000"
"97","Draughn, Shaun","6.1","$6,500"
"98","Polk, Chris","5.8","$5,200"
"99","Freeman, Devonta","5.7","$8,700"
"100","Abdullah, Ameer","5.4","$5,400"
"101","West, Charcandrick","5.4","$5,800"
"102","Blount, LeGarrette","5.3","$6,300"
"103","Mathews, Ryan","5.2","$4,700"
"104","Ware, Spencer","5.2","$5,800"
"105","Bolden, Brandon","5.1","$5,100"
"106","Thompson, Juwan","4.9","$4,600"
"107","Murray, DeMarco","4.7","$6,700"
"108","Cadet, Travaris","4.4","$4,500"
"109","Rawls, Thomas","4.4","$7,400"
"110","Asiata, Matt","4","$4,500"
"111","Tolbert, Mike","4","$4,600"
"112","Hill, Jeremy","3.4","$6,400"
"113","Herron, Dan","3.1","$4,500"
"115","Woodhead, Danny","2.8","$5,400"
"116","Jackson, Fred","2.8","$4,500"
"117","Murray, Latavius","2.7","$6,200"
"118","Cunningham, Benny","2.7","$4,500"
"119","DiMarco, Patrick","2.5","$4,500"
"120","Spiller, C.J.","2.4","$4,800"
"121","Ridley, Stevan","2.3","$4,500"
"123","Kuhn, John","2.1","$4,500"
"124","Darkwa, Orleans","2.1","$4,500"
"125","Williams, Damien","2.1","$4,600"
"126","Coleman, Derrick","1.9","$4,500"
"127","Mason, Tre","1.8","$4,600"
"130","West, Terrance","1.6","$4,600"
"131","Vereen, Shane","1.5","$5,100"
"132","Coleman, Tevin","1.5","$5,100"
"133","Ajayi, Jay","1.5","$4,600"
"134","Hewitt, Ryan","1.4","$4,500"
"135","McKinnon, Jerick","1.3","$4,500"
"136","Taylor, Stepfan","0.9","$4,500"
"137","Young, Darrel","0.7","$4,500"
"138","Bohanon, Tommy","0.7","$4,500"
"139","Davis, Knile","0.6","$4,500"
"140","Miller, Bruce","0.3","$4,500"
"141","Williams, Andre","0.3","$4,500"
"142","Reece, Marcel","0.2","$4,700"
"143","Williams, Kerwynn","0.2","$5,000"
"144","Jones, Taiwan","0.2","$4,500"
"145","Cobb, David","0.1","$4,500"
"147","Mostert, Raheem","0","$4,500"
"148","Carey, Ka'Deem","0","$4,600"
"149","Brown, Donald","0","$4,500"
"150","Murphy, Marcus","0","$4,500"
"151","Barner, Kenjon","0","$4,600"
"152","Gaskins, Kendall","0","$4,700"
"153","Rainey, Bobby","0","$4,500"
"154","Felton, Jerome","0","$4,500"
"155","Blue, Alfred","0","$5,300"
"156","Smith, Rod","0","$4,500"
"157","Dixon, Anthony","0","$4,500"
"158","Juszczyk, Kyle","0","$4,500"
"159","Olawale, Jamize","0","$4,500"
"163","Beckham Jr., Odell","32.1","$9,300"
"164","Baldwin, Doug","29.2","$6,800"
"165","Ginn Jr., Ted","25.5","$6,000"
"166","Lockett, Tyler","25.4","$5,600"
"167","Tate, Golden","24","$6,400"
"168","Green, A.J.","22.2","$8,500"
"169","Marshall, Brandon","21.5","$8,200"
"170","Jeffery, Alshon","19.7","$7,500"
"171","Floyd, Michael","18.7","$6,100"
"172","Colston, Marques","18.6","$5,100"
"173","Hurns, Allen","18","$6,600"
"174","Decker, Eric","16.9","$7,300"
"175","Watkins, Sammy","16.7","$7,200"
"176","Wilson, Albert","16.7","$4,800"
"177","Brown, John","15.8","$6,300"
"178","Snead, Willie","15.7","$5,700"
"179","Landry, Jarvis","15.4","$7,100"
"180","Hilton, T.Y.","15.2","$7,000"
"181","Hartline, Brian","14.7","$5,300"
"182","Randle, Rueben","14.3","$5,600"
"183","Agholor, Nelson","13.7","$4,700"
"184","Woods, Robert","13.1","$5,100"
"185","Cobb, Randall","13","$7,000"
"186","Thomas, Demaryius","12.5","$7,700"
"187","Jones, Julio","12.3","$8,800"
"188","Brown, Antonio","12.2","$9,300"
"189","Stills, Kenny","11.9","$5,000"
"190","Wallace, Mike","11.7","$4,700"
"191","Aiken, Kamar","11.5","$6,000"
"192","Kearse, Jermaine","10.9","$5,500"
"193","Butler, Jeremy","10.7","$4,700"
"194","Maclin, Jeremy","9.6","$6,900"
"195","Jones, Marvin","9.1","$6,200"
"196","Roberts, Seth","9","$5,400"
"197","Simpson, Jerome","9","$4,500"
"198","Bryant, Martavis","8.5","$7,400"
"199","Wheaton, Markus","8.5","$6,100"
"200","Brown, Corey","8.3","$4,700"
"201","Greene, Rashad","8.3","$4,700"
"202","Douglas, Harry","8","$5,400"
"203","Martin, Keshawn","7.8","$5,100"
"204","Garcon, Pierre","7.7","$5,400"
"205","Amendola, Danny","7.6","$7,000"
"206","Austin, Tavon","7.4","$5,800"
"207","Herndon, Javontee","7.2","$4,500"
"209","Floyd, Malcom","7.1","$5,400"
"210","Patton, Quinton","7.1","$4,500"
"211","Humphries, Adam","7.1","$4,800"
"212","Robinson, Allen","6.9","$8,500"
"213","Jones, James","6.9","$5,300"
"214","Green-Beckham, Dorial","6.8","$5,100"
"215","Hopkins, DeAndre","6.7","$8,700"
"216","Moncrief, Donte","6.7","$6,100"
"217","Fitzgerald, Larry","6.6","$7,200"
"218","Harris, Dwayne","6.6","$5,100"
"219","Benjamin, Travis","6.1","$5,700"
"220","Williams, Nick","6","$4,500"
"221","LaFell, Brandon","5.7","$6,400"
"222","Wright, Jarius","5.6","$4,600"
"223","White, Roddy","5.5","$5,500"
"224","Evans, Mike","5.4","$8,000"
"225","Washington, Nate","5.4","$5,200"
"226","Jackson, DeSean","5.3","$6,700"
"228","Williams, Terrance","5.3","$5,700"
"229","Mariani, Marc","4.7","$4,700"
"230","Marquez, Bradley","4.7","$4,500"
"231","Coleman, Brandon","4.7","$4,600"
"232","Britt, Kenny","4.5","$5,100"
"233","Cooks, Brandin","4.4","$7,100"
"234","Cooper, Riley","4.3","$4,900"
"236","Beasley, Cole","4","$5,200"
"237","Funchess, Devin","4","$5,800"
"238","Crabtree, Michael","3.9","$6,700"
"239","Huff, Josh","3.8","$4,800"
"240","Ross, Rashad","3.7","$4,800"
"242","Sanu, Mohamed","3.4","$5,000"
"243","Johnson, Andre","3.4","$5,200"
"244","Matthews, Jordan","3.4","$6,100"
"245","Moore, Marlon","3.3","$4,500"
"246","Boldin, Anquan","3.2","$5,900"
"247","Hogan, Chris","3","$4,800"
"248","Brown, Vincent","2.7","$4,500"
"249","Lee, Marqise","2.6","$4,600"
"251","Parker, DeVante","2.6","$5,900"
"252","Smith, Torrey","2.2","$6,100"
"253","Adams, Davante","2.2","$6,300"
"254","Diggs, Stefon","2.2","$5,700"
"255","Jennings, Greg","2.2","$4,700"
"256","Johnson, Calvin","2.1","$7,900"
"257","Dye, Donteea","2.1","$4,500"
"258","Cotchery, Jerricho","2","$5,300"
"259","Royal, Eddie","2","$4,700"
"260","Shorts, Cecil","1.9","$5,600"
"261","Crowder, Jamison","1.8","$5,300"
"262","Fowler, Bennie","1.7","$4,600"
"263","Welker, Wes","1.6","$4,900"
"264","Enunwa, Quincy","1.5","$4,800"
"265","Bryant, Dez","1.4","$7,400"
"266","Hardy, Justin","1.4","$4,500"
"267","Thielen, Adam","1.2","$4,500"
"268","Strong, Jaelen","1.1","$4,600"
"269","Smith, Kevin","1","$4,500"
"270","Whitehead, Lucky","1","$4,500"
"271","Nicks, Hakeem","1","$4,500"
"272","Norwood, Jordan","1","$4,500"
"273","Jackson, Vincent","1","$6,800"
"274","Sanders, Emmanuel","0.7","$7,100"
"275","Brown, Jaron","0.6","$4,500"
"276","Quick, Brian","0","$4,500"
"277","Williams, Tyrell","0","$4,500"
"278","Heyward-Bey, Darrius","0","$4,700"
"279","Dorsett, Phillip","0","$5,000"
"280","Easley, Marcus","0","$4,500"
"281","Cooper, Amari","0","$6,900"
"282","Avant, Jason","0","$4,500"
"283","Givens, Chris","0","$4,500"
"284","Abbrederis, Jared","0","$4,700"
"285","Ross, Jeremy","0","$4,500"
"286","Weems, Eric","0","$4,500"
"287","Nelson, J.J.","0","$5,400"
"288","Patterson, Cordarrelle","0","$4,600"
"289","Whalen, Griff","0","$4,500"
"290","Ajirotutu, Seyi","0","$4,500"
"291","Conley, Chris","0","$4,900"
"292","Grant, Ryan","0","$4,600"
"293","Smith, Devin","0","$4,900"
"294","Tate, Brandon","0","$4,700"
"295","Fuller, Corey","0","$4,500"
"296","Janis, Jeff","0","$4,800"
"297","Kerley, Jeremy","0","$4,500"
"298","Holmes, Andre","0","$4,900"
"299","Slater, Matthew","0","$4,500"
"300","Mumphery, Keith","0","$4,500"
"301","Street, Devin","0","$4,900"
"302","Hester, Devin","0","$4,500"
"303","Bellamy, Josh","0","$4,500"
"304","Johnson, Charles","0","$4,600"
"305","Ellington, Bruce","0","$4,500"
"306","Shepard, Russell","0","$4,500"
"307","Latimer, Cody","-0.4","$4,800"
"308","Hammond, Frankie","-2","$4,500"
"312","Reed, Jordan","22.5","$5,900"
"313","Miller, Zach","17","$4,900"
"314","Barnidge, Gary","16.9","$6,200"
"315","Gronkowski, Rob","16.7","$8,400"
"316","Thomas, Julius","13.9","$5,900"
"317","Rivera, Mychal","12.4","$4,600"
"318","Ertz, Zach","12.3","$5,000"
"319","Miller, Heath","11.8","$5,400"
"320","Tye, Will","11.5","$4,900"
"321","Davis, Vernon","10.9","$5,200"
"322","Gates, Antonio","10.6","$5,700"
"323","Walker, Delanie","10.6","$6,100"
"324","Watson, Ben","10.5","$5,300"
"325","Rudolph, Kyle","9.7","$5,000"
"326","Dickson, Ed","6.9","$4,800"
"327","Rodgers, Richard","6.8","$5,600"
"328","Olsen, Greg","6.7","$6,600"
"329","Witten, Jason","6.5","$5,500"
"330","Bell, Blake","6.4","$4,500"
"331","Walford, Clive","6.2","$4,700"
"332","Fells, Darren","5.8","$5,000"
"333","Daniels, Owen","5.8","$5,200"
"334","Eifert, Tyler","5.2","$6,300"
"335","Cameron, Jordan","5","$5,000"
"336","Ellison, Rhett","4.6","$4,500"
"337","Seferian-Jenkins, Austin","4.6","$5,500"
"338","Pruitt, MyCole","4.6","$4,500"
"339","Tamme, Jacob","4.6","$5,200"
"340","Ebron, Eric","4.2","$4,900"
"341","Kroft, Tyler","4.1","$4,500"
"342","Green, Ladarius","3.6","$5,000"
"343","Kelce, Travis","3.3","$6,000"
"344","Harbor, Clay","3.1","$4,500"
"347","Brate, Cameron","2.6","$4,900"
"348","Griffin, Ryan","2.5","$4,900"
"349","Supernaw, Phillip","2.1","$4,500"
"350","Lewis, Marcedes","1.9","$4,500"
"351","Gragg, Chris","1.6","$4,500"
"352","Cook, Jared","1.6","$4,700"
"353","Clay, Charles","1.4","$5,100"
"354","Willson, Luke","1.3","$4,800"
"355","Carrier, Derek","1.2","$4,900"
"356","Pettigrew, Brandon","1.2","$4,500"
"357","Fleener, Coby","1.1","$4,900"
"358","Hill, Josh","1.1","$4,700"
"359","Sims, Dion","0.9","$4,600"
"361","Perillo, Justin","0.8","$4,600"
"362","Allen, Dwayne","0.7","$4,600"
"363","Celek, Brent","0.6","$5,100"
"364","Burton, Trey","0","$4,600"
"365","Doyle, Jack","0","$4,500"
"366","Lee, Khari","0","$4,500"
"367","James, Jesse","0","$4,600"
"368","Davis, Kellen","0","$4,500"
"369","Cumberland, Jeff","0","$4,500"
"370","Phillips, John","0","$4,500"
"371","Escobar, Gavin","0","$4,500"
"372","Green, Virgil","0","$4,500"
"373","Kendricks, Lance","0","$4,800"
"374","Smith, Lee","0","$4,500"
"375","Fasano, Anthony","0","$4,500"
"376","Hoomanawanui, Michael","0","$4,500"
"377","Bibbs, E.J.","0","$4,500"
"378","Housler, Rob","0","$4,500"
"379","Toilolo, Levine","0","$4,500"
"380","Stocker, Luke","0","$4,500"
"381","Harkey, Cory","0","$4,500"
"382","Stoneburner, Jake","0","$4,500"
"383","Chandler, Scott","0","$5,800"
"384","Dray, Jim","0","$4,500"
"385","Williams, Maxx","0","$4,500"
"386","Cleveland, Asante","0","$4,500"
"387","Stevens, Craig","0","$4,500"
"388","Johnson, David","0","$4,500"
"389","Hanna, James","0","$4,500"
"390","Parker, Brian","0","$4,500"
"391","Fiedorowicz, C.J.","0","$4,500"
"394","Boswell, Chris","18","$4,700"
"395","Bullock, Randy","14","$4,700"
"396","McManus, Brandon","13","$5,000"
"397","Sturgis, Caleb","13","$4,600"
"398","Catanzaro, Chandler","12","$4,900"
"399","Walsh, Blair","11","$4,700"
"400","Gostkowski, Stephen","11","$5,000"
"401","Myers, Jason","10","$4,600"
"402","Vinatieri, Adam","10","$4,600"
"403","Carpenter, Dan","9","$4,600"
"404","Nugent, Mike","9","$4,800"
"405","Gano, Graham","8","$4,900"
"406","Novak, Nick","7","$4,500"
"407","Brown, Josh","7","$4,800"
"408","Hopkins, Dustin","7","$4,500"
"409","Forbath, Kai","6","$4,600"
"410","Coons, Travis","6","$4,500"
"411","Franks, Andrew","6","$4,500"
"412","Tucker, Justin","6","$4,700"
"413","Dawson, Phil","5","$4,700"
"414","Santos, Cairo","5","$4,700"
"415","Barth, Connor","5","$4,600"
"416","Hauschka, Steven","5","$5,100"
"417","Crosby, Mason","4","$4,700"
"418","Lambo, Josh","3","$4,600"
"419","Gould, Robbie","3","$4,800"
"420","Zuerlein, Greg","3","$4,500"
"421","Prater, Matt","2","$4,500"
"422","Bailey, Dan","1","$4,500"
"423","Janikowski, Sebastian","1","$4,500"
"424","Succop, Ryan","0","$4,500"
"427","Jacksonville Defense","23","$4,300"
"428","Carolina Defense","23","$5,000"
"429","Pittsburgh Defense","16","$4,400"
"430","Oakland Defense","15","$4,300"
"431","New England Defense","15","$4,900"
"432","Kansas City Defense","14","$4,800"
"433","Cleveland Defense","13","$4,300"
"434","St. Louis Defense","13","$4,600"
"435","Seattle Defense","12","$5,300"
"436","New York J Defense","11","$4,800"
"437","Arizona Defense","10","$5,100"
"438","San Diego Defense","10","$4,100"
"439","Indianapolis Defense","9","$4,300"
"440","San Francisco Defense","8","$4,300"
"441","Green Bay Defense","8","$4,800"
"442","Denver Defense","7","$5,400"
"443","Philadelphia Defense","6","$4,600"
"444","Houston Defense","5","$4,500"
"445","Chicago Defense","5","$4,500"
"446","Washington Defense","5","$4,500"
"447","Cincinnati Defense","4","$4,900"
"448","Detroit Defense","4","$4,700"
"449","Buffalo Defense","3","$4,600"
"450","New York G Defense","3","$4,600"
"451","Tampa Bay Defense","2","$4,300"
"452","New Orleans Defense","2","$4,000"
"453","Minnesota Defense","2","$4,400"
"454","Dallas Defense","1","$4,000"
"455","Miami Defense","1","$4,600"
"456","Tennessee Defense","0","$4,200"
"457","Atlanta Defense","-2","$4,300"
"458","Baltimore Defense","-2","$4,100"
